Timestamp_ms,Couleur,X_center,Y_center
4838,Blanc,549,188
4869,Blanc,454,209
4869,Blanc,102,191
4869,Blanc,550,187
4905,Blanc,90,327
4905,Blanc,102,188
4905,Blanc,549,188
4934,Blanc,468,209
4934,Blanc,103,190
4934,Blanc,552,187
4966,Blanc,104,188
4966,Blanc,550,189
4998,Blanc,15,180
4998,Blanc,107,190
4998,Blanc,550,188
5030,Blanc,104,189
5030,Blanc,550,187
5063,Blanc,15,182
5063,Blanc,107,189
5063,Blanc,550,188
5110,Blanc,453,209
5110,Blanc,15,180
5110,Blanc,107,189
5110,Blanc,550,187
5145,Blanc,104,188
5145,Blanc,549,188
5175,Blanc,90,327
5175,Blanc,105,189
5175,Blanc,551,187
5207,Blanc,15,179
5207,Blanc,108,191
5207,Blanc,549,188
5241,Blanc,15,180
5241,Blanc,108,189
5241,Blanc,551,189
5270,Blanc,109,189
5270,Blanc,15,179
5270,Blanc,551,188
5302,Blanc,110,189
5302,Blanc,15,180
5302,Blanc,550,188
5335,Blanc,107,189
5335,Blanc,549,188
5361,Blanc,454,207
5361,Blanc,15,180
5361,Blanc,111,188
5361,Blanc,551,187
5390,Blanc,454,208
5390,Blanc,15,180
5390,Blanc,111,190
5390,Blanc,552,188
5425,Blanc,114,198
5425,Blanc,15,180
5425,Blanc,551,189
5455,Blanc,93,327
5455,Blanc,112,196
5455,Blanc,552,189
5489,Blanc,15,180
5489,Blanc,115,196
5489,Blanc,549,188
5538,Blanc,115,196
5538,Blanc,15,180
5538,Blanc,549,188
5567,Blanc,15,179
5567,Blanc,115,196
5567,Blanc,550,188
5601,Blanc,112,196
5601,Blanc,549,188
5632,Blanc,15,179
5632,Blanc,115,196
5632,Blanc,551,187
5665,Blanc,15,178
5665,Blanc,114,197
5665,Blanc,550,188
5695,Blanc,89,328
5695,Blanc,111,196
5695,Blanc,551,187
5727,Blanc,93,326
5727,Blanc,15,180
5727,Blanc,113,196
5727,Blanc,550,187
5758,Blanc,113,197
5758,Blanc,15,180
5758,Blanc,549,188
5791,Blanc,15,180
5791,Blanc,113,197
5791,Blanc,551,188
5825,Blanc,113,197
5825,Blanc,15,179
5825,Blanc,549,188
5858,Blanc,15,179
5858,Blanc,113,197
5858,Blanc,552,189
5889,Blanc,15,179
5889,Blanc,113,197
5889,Blanc,552,188
5920,Blanc,15,181
5920,Blanc,113,198
5920,Blanc,550,188
5967,Blanc,15,180
5967,Blanc,113,197
5967,Blanc,550,188
6000,Blanc,15,180
6000,Blanc,113,199
6000,Blanc,551,188
6033,Blanc,110,197
6033,Blanc,551,188
6065,Blanc,15,180
6065,Blanc,112,197
6065,Blanc,550,189
6096,Blanc,110,197
6096,Blanc,552,188
6127,Blanc,91,329
6127,Blanc,15,180
6127,Blanc,113,197
6127,Blanc,550,188
6158,Blanc,15,182
6158,Blanc,113,198
6158,Blanc,551,188
6191,Blanc,15,179
6191,Blanc,114,197
6191,Blanc,551,188
6222,Blanc,111,197
6222,Blanc,550,188
6256,Blanc,15,181
6256,Blanc,113,197
6256,Blanc,550,188
6288,Blanc,15,181
6288,Blanc,111,191
6288,Blanc,551,188
6319,Blanc,15,180
6319,Blanc,110,190
6319,Blanc,551,188
6352,Blanc,15,181
6352,Blanc,110,190
6352,Blanc,550,188
6402,Blanc,15,181
6402,Blanc,108,188
6402,Blanc,550,188
6431,Blanc,103,187
6431,Blanc,552,188
6464,Blanc,202,293
6464,Blanc,101,185
6464,Blanc,552,188
6501,Blanc,194,294
6501,Blanc,99,182
6501,Blanc,552,188
6537,Blanc,188,293
6537,Blanc,15,181
6537,Blanc,99,178
6537,Blanc,551,188
6571,Blanc,187,296
6571,Blanc,15,180
6571,Blanc,97,176
6571,Blanc,551,188
6598,Blanc,183,294
6598,Blanc,454,208
6598,Blanc,15,182
6598,Blanc,94,174
6598,Blanc,552,188
6630,Blanc,178,293
6630,Blanc,15,181
6630,Blanc,91,173
6630,Blanc,552,188
6661,Blanc,15,180
6661,Blanc,89,171
6661,Blanc,552,188
6694,Blanc,16,171
6694,Blanc,87,170
6694,Blanc,552,188
6757,Blanc,15,177
6757,Blanc,84,164
6757,Blanc,553,188
6785,Blanc,15,177
6785,Blanc,84,164
6785,Blanc,553,188
6814,Blanc,456,209
6814,Blanc,15,181
6814,Blanc,83,162
6814,Blanc,552,188
6840,Blanc,15,182
6840,Blanc,82,160
6840,Blanc,551,188
6869,Blanc,455,209
6869,Blanc,15,183
6869,Blanc,80,160
6869,Blanc,552,188
6899,Blanc,15,181
6899,Blanc,80,159
6899,Blanc,551,187
6932,Blanc,14,184
6932,Blanc,78,160
6932,Blanc,553,189
6964,Blanc,75,161
6964,Blanc,549,188
6996,Blanc,16,176
6996,Blanc,80,158
6996,Blanc,550,188
7032,Blanc,455,209
7032,Blanc,16,173
7032,Blanc,84,153
7032,Blanc,551,188
7060,Blanc,454,208
7060,Blanc,15,182
7060,Blanc,89,144
7060,Blanc,551,188
7093,Blanc,15,180
7093,Blanc,93,138
7093,Blanc,549,188
7158,Blanc,17,279
7158,Blanc,455,209
7158,Blanc,21,143
7158,Blanc,114,108
7158,Blanc,551,188
7184,Blanc,17,279
7184,Blanc,455,209
7184,Blanc,21,143
7184,Blanc,114,108
7184,Blanc,551,188
7210,Blanc,21,145
7210,Blanc,116,108
7210,Blanc,550,188
7239,Blanc,20,146
7239,Blanc,119,107
7239,Blanc,548,188
7270,Blanc,22,138
7270,Blanc,121,108
7270,Blanc,548,188
7301,Blanc,121,110
7301,Blanc,548,188
7335,Blanc,22,135
7335,Blanc,123,110
7335,Blanc,549,188
7366,Blanc,23,133
7366,Blanc,125,111
7366,Blanc,549,188
7397,Blanc,297,343
7397,Blanc,129,112
7397,Blanc,23,130
7397,Blanc,548,188
7430,Blanc,295,344
7430,Blanc,23,130
7430,Blanc,131,112
7430,Blanc,548,188
7462,Blanc,293,342
7462,Blanc,134,112
7462,Blanc,547,188
7496,Blanc,292,341
7496,Blanc,453,209
7496,Blanc,134,114
7496,Blanc,550,188
7558,Blanc,291,338
7558,Blanc,136,116
7558,Blanc,548,188
7590,Blanc,291,336
7590,Blanc,135,118
7590,Blanc,547,188
7618,Blanc,291,336
7618,Blanc,135,118
7618,Blanc,547,188
7644,Blanc,291,335
7644,Blanc,134,119
7644,Blanc,549,188
7672,Blanc,291,333
7672,Blanc,457,210
7672,Blanc,133,119
7672,Blanc,550,187
7701,Blanc,292,333
7701,Blanc,134,120
7701,Blanc,548,188
7735,Blanc,292,332
7735,Blanc,133,120
7735,Blanc,548,188
7766,Blanc,292,331
7766,Blanc,132,120
7766,Blanc,548,188
7797,Blanc,293,330
7797,Blanc,132,120
7797,Blanc,548,188
7830,Blanc,294,328
7830,Blanc,131,119
7830,Blanc,548,188
7861,Blanc,294,327
7861,Blanc,129,119
7861,Blanc,548,188
7895,Blanc,295,326
7895,Blanc,23,128
7895,Blanc,129,119
7895,Blanc,548,188
7958,Blanc,295,322
7958,Blanc,23,132
7958,Blanc,126,118
7958,Blanc,548,188
7988,Blanc,295,319
7988,Blanc,126,117
7988,Blanc,23,133
7988,Blanc,548,187
8027,Blanc,296,318
8027,Blanc,22,136
8027,Blanc,125,116
8027,Blanc,548,188
8054,Blanc,296,318
8054,Blanc,22,136
8054,Blanc,125,116
8054,Blanc,548,188
8080,Blanc,296,315
8080,Blanc,22,135
8080,Blanc,122,114
8080,Blanc,548,188
8106,Blanc,296,312
8106,Blanc,22,138
8106,Blanc,125,112
8106,Blanc,547,188
8135,Blanc,297,310
8135,Blanc,21,141
8135,Blanc,125,108
8135,Blanc,547,188
8165,Blanc,297,307
8165,Blanc,23,134
8165,Blanc,119,109
8165,Blanc,547,188
8197,Blanc,297,304
8197,Blanc,22,139
8197,Blanc,111,112
8197,Blanc,547,188
8229,Blanc,298,302
8229,Blanc,21,143
8229,Blanc,107,111
8229,Blanc,547,188
8263,Blanc,36,300
8263,Blanc,299,299
8263,Blanc,21,143
8263,Blanc,107,110
8263,Blanc,546,188
8296,Blanc,37,297
8296,Blanc,299,296
8296,Blanc,21,146
8296,Blanc,110,108
8296,Blanc,547,188
8360,Blanc,45,295
8360,Blanc,301,290
8360,Blanc,20,146
8360,Blanc,106,106
8360,Blanc,546,188
8392,Blanc,50,295
8392,Blanc,302,288
8392,Blanc,106,104
8392,Blanc,546,188
8424,Blanc,54,294
8424,Blanc,303,286
8424,Blanc,109,99
8424,Blanc,545,188
8453,Blanc,61,297
8453,Blanc,303,283
8453,Blanc,19,152
8453,Blanc,113,95
8453,Blanc,546,188
8480,Blanc,61,297
8480,Blanc,303,283
8480,Blanc,19,152
8480,Blanc,113,95
8480,Blanc,546,188
8507,Blanc,59,290
8507,Blanc,303,282
8507,Blanc,105,100
8507,Blanc,546,188
8538,Blanc,64,291
8538,Blanc,303,281
8538,Blanc,20,151
8538,Blanc,101,101
8538,Blanc,546,188
8572,Blanc,304,281
8572,Blanc,68,292
8572,Blanc,22,174
8572,Blanc,100,101
8572,Blanc,538,190
8603,Blanc,70,296
8603,Blanc,303,279
8603,Blanc,87,113
8603,Blanc,545,188
8635,Blanc,78,301
8635,Blanc,303,279
8635,Blanc,24,176
8635,Blanc,98,102
8635,Blanc,544,187
8664,Blanc,83,302
8664,Blanc,303,279
8664,Blanc,84,116
8664,Blanc,543,187
8697,Blanc,93,303
8697,Blanc,302,277
8697,Blanc,83,117
8697,Blanc,545,188
8760,Blanc,301,277
8760,Blanc,80,119
8760,Blanc,544,188
8791,Blanc,301,277
8791,Blanc,76,127
8791,Blanc,544,188
8822,Blanc,300,279
8822,Blanc,78,137
8822,Blanc,15,181
8822,Blanc,543,188
8853,Blanc,300,281
8853,Blanc,68,156
8853,Blanc,544,188
8882,Blanc,300,281
8882,Blanc,68,156
8882,Blanc,544,188
8911,Blanc,298,282
8911,Blanc,29,236
8911,Blanc,99,102
8911,Blanc,543,187
8940,Blanc,297,282
8940,Blanc,33,260
8940,Blanc,14,183
8940,Blanc,101,100
8940,Blanc,536,189
8972,Blanc,297,284
8972,Blanc,29,249
8972,Blanc,103,100
8972,Blanc,543,188
9000,Blanc,295,285
9000,Blanc,33,272
9000,Blanc,107,99
9000,Blanc,543,188
9033,Blanc,294,286
9033,Blanc,32,276
9033,Blanc,39,146
9033,Blanc,119,93
9033,Blanc,543,188
9066,Blanc,292,288
9066,Blanc,31,280
9066,Blanc,119,95
9066,Blanc,544,189
9099,Blanc,30,284
9099,Blanc,291,290
9099,Blanc,120,96
9099,Blanc,542,191
9160,Blanc,27,288
9160,Blanc,288,293
9160,Blanc,124,99
9160,Blanc,542,190
9190,Blanc,26,289
9190,Blanc,286,293
9190,Blanc,124,100
9190,Blanc,542,191
9224,Blanc,24,288
9224,Blanc,285,294
9224,Blanc,125,100
9224,Blanc,542,190
9254,Blanc,20,286
9254,Blanc,285,295
9254,Blanc,125,100
9254,Blanc,539,192
9287,Blanc,284,297
9287,Blanc,125,100
9287,Blanc,542,190
9314,Blanc,284,297
9314,Blanc,125,100
9314,Blanc,542,190
9339,Blanc,285,299
9339,Blanc,126,100
9339,Blanc,539,193
9367,Blanc,284,300
9367,Blanc,126,100
9367,Blanc,541,190
9397,Blanc,284,300
9397,Blanc,125,99
9397,Blanc,542,190
9429,Blanc,283,301
9429,Blanc,127,100
9429,Blanc,543,190
9463,Blanc,282,302
9463,Blanc,127,100
9463,Blanc,542,189
9494,Blanc,281,303
9494,Blanc,129,100
9494,Blanc,539,190
9560,Blanc,278,306
9560,Blanc,128,104
9560,Blanc,542,187
9592,Blanc,277,308
9592,Blanc,135,106
9592,Blanc,543,189
9624,Blanc,276,310
9624,Blanc,137,107
9624,Blanc,543,190
9653,Blanc,275,312
9653,Blanc,138,108
9653,Blanc,543,189
9686,Blanc,274,313
9686,Blanc,141,110
9686,Blanc,544,188
9718,Blanc,273,314
9718,Blanc,138,113
9718,Blanc,545,190
9748,Blanc,273,314
9748,Blanc,138,113
9748,Blanc,545,190
9777,Blanc,273,315
9777,Blanc,137,116
9777,Blanc,546,191
9807,Blanc,272,317
9807,Blanc,263,185
9807,Blanc,138,118
9807,Blanc,546,190
9836,Blanc,272,318
9836,Blanc,264,187
9836,Blanc,140,120
9836,Blanc,24,120
9836,Blanc,546,190
9867,Blanc,271,318
9867,Blanc,264,186
9867,Blanc,141,121
9867,Blanc,24,124
9867,Blanc,547,189
9899,Blanc,270,319
9899,Blanc,264,189
9899,Blanc,141,123
9899,Blanc,23,125
9899,Blanc,547,190
9961,Blanc,270,319
9961,Blanc,264,186
9961,Blanc,135,124
9961,Blanc,548,190
9991,Blanc,270,319
9991,Blanc,467,212
9991,Blanc,264,203
9991,Blanc,264,156
9991,Blanc,134,125
9991,Blanc,551,189
10022,Blanc,51,415
10022,Blanc,271,318
10022,Blanc,264,185
10022,Blanc,132,124
10022,Blanc,549,190
10054,Blanc,271,318
10054,Blanc,264,188
10054,Blanc,131,123
10054,Blanc,550,192
10087,Blanc,272,317
10087,Blanc,264,184
10087,Blanc,130,122
10087,Blanc,550,191
10115,Blanc,273,317
10115,Blanc,458,211
10115,Blanc,264,189
10115,Blanc,130,122
10115,Blanc,552,191
10149,Blanc,274,316
10149,Blanc,457,211
10149,Blanc,264,187
10149,Blanc,441,112
10149,Blanc,129,122
10149,Blanc,552,192
10178,Blanc,274,316
10178,Blanc,457,211
10178,Blanc,264,187
10178,Blanc,441,112
10178,Blanc,129,122
10178,Blanc,552,192
10208,Blanc,275,315
10208,Blanc,456,211
10208,Blanc,264,183
10208,Blanc,129,121
10208,Blanc,553,191
10238,Blanc,276,315
10238,Blanc,264,183
10238,Blanc,128,122
10238,Blanc,549,190
10268,Blanc,277,314
10268,Blanc,264,184
10268,Blanc,127,122
10268,Blanc,548,191
10297,Blanc,277,314
10297,Blanc,264,180
10297,Blanc,128,122
10297,Blanc,549,190
10356,Blanc,278,311
10356,Blanc,469,210
10356,Blanc,264,177
10356,Blanc,127,121
10356,Blanc,552,190
10389,Blanc,279,311
10389,Blanc,467,211
10389,Blanc,264,180
10389,Blanc,126,122
10389,Blanc,552,190
10421,Blanc,279,310
10421,Blanc,457,211
10421,Blanc,264,180
10421,Blanc,126,121
10421,Blanc,552,190
10453,Blanc,279,308
10453,Blanc,465,211
10453,Blanc,264,177
10453,Blanc,125,121
10453,Blanc,552,190
10485,Blanc,280,307
10485,Blanc,457,212
10485,Blanc,264,178
10485,Blanc,126,120
10485,Blanc,552,190
10518,Blanc,280,306
10518,Blanc,459,212
10518,Blanc,264,179
10518,Blanc,127,119
10518,Blanc,552,189
10551,Blanc,280,305
10551,Blanc,457,211
10551,Blanc,264,178
10551,Blanc,134,116
10551,Blanc,23,129
10551,Blanc,552,190
10585,Blanc,280,305
10585,Blanc,457,211
10585,Blanc,264,178
10585,Blanc,134,116
10585,Blanc,23,129
10585,Blanc,552,190
10616,Blanc,74,402
10616,Blanc,280,304
10616,Blanc,457,211
10616,Blanc,264,181
10616,Blanc,136,115
10616,Blanc,552,189
10647,Blanc,82,400
10647,Blanc,281,303
10647,Blanc,264,179
10647,Blanc,140,112
10647,Blanc,550,191
10676,Blanc,281,302
10676,Blanc,457,212
10676,Blanc,264,176
10676,Blanc,142,111
10676,Blanc,552,190
10708,Blanc,282,301
10708,Blanc,458,212
10708,Blanc,264,177
10708,Blanc,142,110
10708,Blanc,23,132
10708,Blanc,551,190
10757,Blanc,30,330
10757,Blanc,283,297
10757,Blanc,465,212
10757,Blanc,264,178
10757,Blanc,140,110
10757,Blanc,23,130
10757,Blanc,552,189
10791,Blanc,31,327
10791,Blanc,284,296
10791,Blanc,264,178
10791,Blanc,23,130
10791,Blanc,140,109
10791,Blanc,548,189
10821,Blanc,38,326
10821,Blanc,285,294
10821,Blanc,457,211
10821,Blanc,263,179
10821,Blanc,137,108
10821,Blanc,23,127
10821,Blanc,552,190
10853,Blanc,62,405
10853,Blanc,41,317
10853,Blanc,286,292
10853,Blanc,23,128
10853,Blanc,133,108
10853,Blanc,549,190
10878,Blanc,47,314
10878,Blanc,287,289
10878,Blanc,458,211
10878,Blanc,23,128
10878,Blanc,132,107
10878,Blanc,551,189
10908,Blanc,72,403
10908,Blanc,288,287
10908,Blanc,51,310
10908,Blanc,469,210
10908,Blanc,129,107
10908,Blanc,24,125
10908,Blanc,552,188
10941,Blanc,289,285
10941,Blanc,57,305
10941,Blanc,457,212
10941,Blanc,125,106
10941,Blanc,16,183
10941,Blanc,552,191
10975,Blanc,290,284
10975,Blanc,60,293
10975,Blanc,123,106
10975,Blanc,21,143
10975,Blanc,550,190
11004,Blanc,290,284
11004,Blanc,60,293
11004,Blanc,123,106
11004,Blanc,21,143
11004,Blanc,550,190
11030,Blanc,292,282
11030,Blanc,78,300
11030,Blanc,458,212
11030,Blanc,118,108
11030,Blanc,22,134
11030,Blanc,552,190
11058,Blanc,292,281
11058,Blanc,98,308
11058,Blanc,469,210
11058,Blanc,117,108
11058,Blanc,23,132
11058,Blanc,552,188
11091,Blanc,117,317
11091,Blanc,294,281
11091,Blanc,467,210
11091,Blanc,19,150
11091,Blanc,116,109
11091,Blanc,551,189
11155,Blanc,138,325
11155,Blanc,295,280
11155,Blanc,466,210
11155,Blanc,86,154
11155,Blanc,552,188
11187,Blanc,142,326
11187,Blanc,296,281
11187,Blanc,455,210
11187,Blanc,84,161
11187,Blanc,551,189
11220,Blanc,144,326
11220,Blanc,297,281
11220,Blanc,83,166
11220,Blanc,549,190
11253,Blanc,147,325
11253,Blanc,299,281
11253,Blanc,456,210
11253,Blanc,83,169
11253,Blanc,551,188
11283,Blanc,150,323
11283,Blanc,301,281
11283,Blanc,466,211
11283,Blanc,83,171
11283,Blanc,551,187
11315,Blanc,153,323
11315,Blanc,303,282
11315,Blanc,455,210
11315,Blanc,83,173
11315,Blanc,553,191
11347,Blanc,159,325
11347,Blanc,83,176
11347,Blanc,550,188
11379,Blanc,161,322
11379,Blanc,456,211
11379,Blanc,83,178
11379,Blanc,552,188
11413,Blanc,167,325
11413,Blanc,467,210
11413,Blanc,84,180
11413,Blanc,552,190
11436,Blanc,167,325
11436,Blanc,467,210
11436,Blanc,84,180
11436,Blanc,552,190
11455,Blanc,170,325
11455,Blanc,86,181
11455,Blanc,550,190
11524,Blanc,176,323
11524,Blanc,456,210
